run_id,scenario,condition,n_agents,trial,steering_accuracy,contamination_rate,avg_context_tokens,p95_context_tokens,user_latency_ms,total_decisions,correct_decisions
s1_n3_dacs_t03_599653,s1_n3,dacs,3,3,0.8889,0.0,589.7,1102,0.0,9,8
s1_n3_dacs_t04_b9c20f,s1_n3,dacs,3,4,0.8889,0.0,541.4,906,0.0,9,8
s1_n3_dacs_t05_f43988,s1_n3,dacs,3,5,0.8889,0.0,578.9,1017,0.0,9,8
s1_n3_dacs_t06_f1a9df,s1_n3,dacs,3,6,1.0,0.0,566.1,965,0.0,9,9
s1_n3_dacs_t07_c6d1b3,s1_n3,dacs,3,7,1.0,0.1111,588.2,1092,0.0,9,9
s1_n3_dacs_t08_7c94be,s1_n3,dacs,3,8,0.8889,0.0,528.3,878,0.0,9,8
s1_n3_dacs_t09_eca04b,s1_n3,dacs,3,9,1.0,0.0,532.3,961,0.0,9,9
s1_n3_dacs_t10_709f59,s1_n3,dacs,3,10,1.0,0.0,547.4,937,0.0,9,9
s1_n3_dacs_t01_4cc35c,s1_n3,dacs,3,1,1.0,0.1111,538.2,939,0.0,9,9
s1_n3_dacs_t01_0d1e40,s1_n3,dacs,3,1,0.8889,0.0,568,1019,0.0,9,8
s1_n3_baseline_t03_e629b4,s1_n3,baseline,3,3,0.7778,0.5556,1425.2,3014,0.0,9,7
s1_n3_baseline_t04_6de69c,s1_n3,baseline,3,4,0.7778,0.6667,1128.7,2408,0.0,9,7
s1_n3_baseline_t05_5a8a53,s1_n3,baseline,3,5,0.6667,0.5556,1135.9,2246,0.0,9,6
s1_n3_baseline_t06_cffa83,s1_n3,baseline,3,6,0.4444,0.4444,1127,2216,0.0,9,4
s1_n3_baseline_t07_d43b46,s1_n3,baseline,3,7,0.4444,0.7778,1191.1,2348,0.0,9,4
s1_n3_baseline_t08_926d43,s1_n3,baseline,3,8,0.5556,0.5556,1127.4,2153,0.0,9,5
s1_n3_baseline_t09_628984,s1_n3,baseline,3,9,0.5556,0.5556,1174.3,2301,0.0,9,5
s1_n3_baseline_t10_7e8cdc,s1_n3,baseline,3,10,0.6667,0.3333,1217,2433,0.0,9,6
s1_n3_baseline_t01_6b123a,s1_n3,baseline,3,1,0.4444,0.4444,1244,2599,0.0,9,4
s1_n3_baseline_t01_e3d9c1,s1_n3,baseline,3,1,0.5556,0.7778,1164.3,2483,0.0,9,5
s1_n3_dacs_no_registry_t01_a74230,s1_n3,no_registry,3,1,0.8889,0.0,0,0,0.0,9,8
s1_n3_dacs_no_registry_t02_b9d5a2,s1_n3,no_registry,3,2,0.8889,0.0,0,0,0.0,9,8
s1_n3_dacs_no_registry_t03_e21151,s1_n3,no_registry,3,3,1.0,0.0,0,0,0.0,9,9
s1_n3_dacs_no_registry_t04_1e07d6,s1_n3,no_registry,3,4,1.0,0.0,0,0,0.0,9,9
s1_n3_dacs_no_registry_t05_395d2b,s1_n3,no_registry,3,5,0.8889,0.0,0,0,0.0,9,8
s1_n3_dacs_no_registry_t06_0f8896,s1_n3,no_registry,3,6,1.0,0.0,0,0,0.0,9,9
s1_n3_dacs_no_registry_t07_d3e5e9,s1_n3,no_registry,3,7,0.8889,0.0,0,0,0.0,9,8
s1_n3_dacs_no_registry_t08_0d8892,s1_n3,no_registry,3,8,0.8889,0.0,0,0,0.0,9,8
s1_n3_dacs_no_registry_t09_efa3b0,s1_n3,no_registry,3,9,0.8889,0.0,0,0,0.0,9,8
s1_n3_dacs_no_registry_t10_d5726b,s1_n3,no_registry,3,10,1.0,0.0,0,0,0.0,9,9
s1_n3_dacs_random_focus_t01_26d8ec,s1_n3,random_focus,3,1,0.6667,0.5556,531.4,951,0.0,9,6
s1_n3_dacs_random_focus_t02_2b1cb3,s1_n3,random_focus,3,2,0.5556,0.6667,605.4,1110,0.0,9,5
s1_n3_dacs_random_focus_t03_f8c2e6,s1_n3,random_focus,3,3,0.3333,0.7778,496.7,789,0.0,9,3
s1_n3_dacs_random_focus_t04_180661,s1_n3,random_focus,3,4,0.4444,0.6667,485.8,855,0.0,9,4
s1_n3_dacs_random_focus_t05_7f5cbf,s1_n3,random_focus,3,5,0.4444,0.5556,538,835,0.0,9,4
s1_n3_dacs_random_focus_t06_28d884,s1_n3,random_focus,3,6,0.5556,0.4444,486.8,946,0.0,9,5
s1_n3_dacs_random_focus_t07_d90597,s1_n3,random_focus,3,7,0.6667,0.6667,580.9,870,0.0,9,6
s1_n3_dacs_random_focus_t08_11413e,s1_n3,random_focus,3,8,0.2222,0.6667,561.3,1181,0.0,9,2
s1_n3_dacs_random_focus_t09_269615,s1_n3,random_focus,3,9,0.5556,0.6667,555.2,936,0.0,9,5
s1_n3_dacs_random_focus_t10_42b272,s1_n3,random_focus,3,10,0.5556,0.7778,614.9,1119,0.0,9,5
s1_n3_dacs_flat_ordered_t01_0c1273,s1_n3,flat_ordered,3,1,0.5556,0.6667,0,0,0.0,9,5
s1_n3_dacs_flat_ordered_t02_4a6dfd,s1_n3,flat_ordered,3,2,0.5556,0.5556,0,0,0.0,9,5
s1_n3_dacs_flat_ordered_t03_fb560c,s1_n3,flat_ordered,3,3,0.3333,1.0,0,0,0.0,9,3
s1_n3_dacs_flat_ordered_t04_d677ff,s1_n3,flat_ordered,3,4,0.5556,0.2222,0,0,0.0,9,5
s1_n3_dacs_flat_ordered_t05_30f146,s1_n3,flat_ordered,3,5,0.5556,0.3333,0,0,0.0,9,5
s1_n3_dacs_flat_ordered_t06_744ad3,s1_n3,flat_ordered,3,6,0.6667,0.6667,0,0,0.0,9,6
s1_n3_dacs_flat_ordered_t07_493dff,s1_n3,flat_ordered,3,7,0.5556,0.7778,0,0,0.0,9,5
s1_n3_dacs_flat_ordered_t08_99d9ea,s1_n3,flat_ordered,3,8,0.6667,0.4444,0,0,0.0,9,6
s1_n3_dacs_flat_ordered_t09_aa8304,s1_n3,flat_ordered,3,9,0.5556,0.5556,0,0,0.0,9,5
s1_n3_dacs_flat_ordered_t10_6e5db8,s1_n3,flat_ordered,3,10,0.6667,0.5556,0,0,0.0,9,6
s2_n5_dacs_t01_1495bc,s2_n5,dacs,5,1,0.9333,0.1333,634.4,1072,0.0,15,14
s2_n5_dacs_t02_651466,s2_n5,dacs,5,2,1.0,0.0667,639.9,1071,0.0,15,15
