run_id,scenario,condition,n_agents,trial,focus_mode,inject,steering_accuracy,contamination_rate,avg_context_tokens,p95_context_tokens,total_decisions,correct_decisions,avg_judge_score,avg_steering_score,avg_user_score,min_judge_score,total_judged,inject_count,competing_requests
cc1_n3_dacs_concurrent_t01_2c87b3,cc1_n3,dacs_concurrent,3,1,True,True,0.9231,0.0,681.5,1178,13,12,0.0,0.0,0.0,0,0,2,2
cc1_n3_dacs_concurrent_t01_ffcbbd,cc1_n3,dacs_concurrent,3,1,True,True,0.9231,0.0,704.2,1263,13,12,9.667,9.667,0.0,9,3,2,2
cc1_n3_dacs_concurrent_t01_67cf0f,cc1_n3,dacs_concurrent,3,1,True,True,1.0,0.0,737.8,1188,13,13,8.2,8.0,10.0,4,10,2,2
cc1_n3_dacs_concurrent_t01_b1580c,cc1_n3,dacs_concurrent,3,1,True,True,0.9231,0.0,744.4,1359,13,12,7.2,7.923,2.5,1,15,2,2
cc1_n3_dacs_concurrent_t01_4d2b41,cc1_n3,dacs_concurrent,3,1,True,True,1.0,0.0,714.9,1466,13,13,7.267,7.077,8.5,4,15,2,2
cc1_n3_dacs_concurrent_t02_45a209,cc1_n3,dacs_concurrent,3,2,True,True,0.9231,0.0769,724.4,1296,13,12,7.333,7.462,6.5,1,15,2,2
cc1_n3_dacs_concurrent_t03_5e1465,cc1_n3,dacs_concurrent,3,3,True,True,0.9231,0.0,709.2,1189,13,12,6.857,7.077,4.0,1,14,2,2
cc1_n3_dacs_concurrent_t04_7af76c,cc1_n3,dacs_concurrent,3,4,True,True,0.9231,0.0,735.1,1382,13,12,7.267,7.154,8.0,1,15,2,2
cc1_n3_dacs_concurrent_t05_052ae8,cc1_n3,dacs_concurrent,3,5,True,True,0.9231,0.0,747.8,1620,13,12,6.8,7.692,1.0,1,15,2,2
cc1_n3_dacs_clean_t01_fe4b8f,cc1_n3,dacs_clean,3,1,True,False,1.0,0.0,716.5,1208,13,13,8.077,8.077,0.0,4,13,0,2
cc1_n3_dacs_clean_t02_3c870b,cc1_n3,dacs_clean,3,2,True,False,0.9231,0.0,701.4,1372,13,12,7.154,7.154,0.0,1,13,0,2
cc1_n3_dacs_clean_t01_13eccd,cc1_n3,dacs_clean,3,1,True,False,0.9231,0.0,761.1,1302,13,12,7.769,7.769,0.0,3,13,0,2
cc1_n3_dacs_clean_t02_9f1971,cc1_n3,dacs_clean,3,2,True,False,0.9231,0.0,751.2,1446,13,12,7.538,7.538,0.0,1,13,0,2
cc1_n3_dacs_clean_t03_f7ce61,cc1_n3,dacs_clean,3,3,True,False,0.9231,0.0,785.2,1487,13,12,7.615,7.615,0.0,1,13,0,2
cc1_n3_baseline_concurrent_t01_a91a81,cc1_n3,baseline_concurrent,3,1,False,True,0.4615,0.6154,1561.2,2684,13,6,3.4,3.308,4.0,1,15,2,0
cc1_n3_baseline_concurrent_t02_43c39b,cc1_n3,baseline_concurrent,3,2,False,True,0.3846,0.3846,1465.4,2874,13,5,4.467,3.692,9.5,1,15,2,0
cc1_n3_baseline_concurrent_t03_c80a38,cc1_n3,baseline_concurrent,3,3,False,True,0.5385,0.3077,1419.2,2793,13,7,4.267,4.308,4.0,1,15,2,0
cc1_n3_baseline_concurrent_t04_bbcbaa,cc1_n3,baseline_concurrent,3,4,False,True,0.5385,0.6154,1764.9,3437,13,7,3.067,2.462,7.0,1,15,2,0
cc1_n3_baseline_concurrent_t05_f47b55,cc1_n3,baseline_concurrent,3,5,False,True,0.4615,0.4615,1343.5,2573,13,6,2.4,1.923,5.5,1,15,2,0
cc1_n3_baseline_clean_t03_8bc358,cc1_n3,baseline_clean,3,3,False,False,0.5385,0.3077,1321.5,2417,13,7,4.154,4.154,0.0,1,13,0,0
cc1_n3_baseline_clean_t02_6f3b1a,cc1_n3,baseline_clean,3,2,False,False,0.4615,0.3077,1420.5,2491,13,6,3.692,3.692,0.0,1,13,0,0
cc1_n3_baseline_clean_t01_ad0b79,cc1_n3,baseline_clean,3,1,False,False,0.6154,0.6923,1684.3,3195,13,8,3.923,3.923,0.0,1,13,0,0
cc1_n3_baseline_clean_t04_5e9a8b,cc1_n3,baseline_clean,3,4,False,False,0.6154,0.3077,1401.2,2650,13,8,4.769,4.769,0.0,1,13,0,0
cc1_n3_baseline_clean_t05_7b6c2a,cc1_n3,baseline_clean,3,5,False,False,0.6154,0.4615,1817.8,3311,13,8,5.308,5.308,0.0,1,13,0,0
cc2_n5_dacs_concurrent_t01_a7d9cd,cc2_n5,dacs_concurrent,5,1,True,True,0.8947,0.0,739.7,1262,19,17,7.409,7.947,4.0,1,22,3,1
cc2_n5_dacs_concurrent_t02_fde02f,cc2_n5,dacs_concurrent,5,2,True,True,0.8947,0.0,728.3,1207,19,17,8.227,8.421,7.0,1,22,3,1
cc2_n5_dacs_concurrent_t03_58a2ec,cc2_n5,dacs_concurrent,5,3,True,True,0.8947,0.0,723.5,1213,19,17,8.136,8.421,6.333,4,22,3,1
cc2_n5_dacs_concurrent_t05_66bd44,cc2_n5,dacs_concurrent,5,5,True,True,0.8947,0.0,741.6,1386,19,17,8.227,8.105,9.0,1,22,3,1
cc2_n5_dacs_concurrent_t04_22de20,cc2_n5,dacs_concurrent,5,4,True,True,0.8947,0.0,744.1,1325,19,17,8.619,8.526,9.5,1,21,3,1
cc2_n5_dacs_clean_t01_de62dd,cc2_n5,dacs_clean,5,1,True,False,0.8947,0.0,723.1,1321,19,17,7.895,7.895,0.0,4,19,0,1
cc2_n5_dacs_clean_t02_343cff,cc2_n5,dacs_clean,5,2,True,False,0.8947,0.0,754.2,1285,19,17,8.053,8.053,0.0,1,19,0,1
cc2_n5_dacs_clean_t03_6f0582,cc2_n5,dacs_clean,5,3,True,False,0.8947,0.0,748.9,1296,19,17,8.684,8.684,0.0,4,19,0,1
cc2_n5_dacs_clean_t04_554b07,cc2_n5,dacs_clean,5,4,True,False,0.8947,0.0,744.1,1282,19,17,8.211,8.211,0.0,4,19,0,1
cc2_n5_dacs_clean_t05_e51653,cc2_n5,dacs_clean,5,5,True,False,1.0,0.0,723.5,1204,19,19,8.684,8.684,0.0,4,19,0,1
cc2_n5_baseline_concurrent_t01_324126,cc2_n5,baseline_concurrent,5,1,False,True,0.2632,0.4211,1830.7,4184,19,5,3.318,3.158,4.333,1,22,3,0
cc2_n5_baseline_concurrent_t02_3ac726,cc2_n5,baseline_concurrent,5,2,False,True,0.1579,0.3158,1836.6,3741,19,3,3.136,2.211,9.0,1,22,3,0
cc2_n5_baseline_concurrent_t03_04049d,cc2_n5,baseline_concurrent,5,3,False,True,0.1579,0.2632,1973.9,3628,19,3,3.273,2.421,8.667,1,22,3,0
cc2_n5_baseline_concurrent_t04_5f68c3,cc2_n5,baseline_concurrent,5,4,False,True,0.3684,0.3684,1989.9,4607,19,7,3.682,3.0,8.0,1,22,3,0
cc2_n5_baseline_concurrent_t05_f42781,cc2_n5,baseline_concurrent,5,5,False,True,0.3684,0.4737,2033.4,4342,19,7,3.591,3.053,7.0,1,22,3,0
cc2_n5_baseline_clean_t01_e48c25,cc2_n5,baseline_clean,5,1,False,False,0.2632,0.4211,2242.2,4532,19,5,1.842,1.842,0.0,1,19,0,0
