run_id,batch_id,condition,n_agents,trial,contamination_rate,avg_context_tokens,p95_context_tokens,n_steering_responses
gaia_b01_n3_dacs_t01_f06253,gaia_b01_n3,dacs,3,1,1.0,193.33333333333334,219,3
gaia_b01_n3_baseline_t01_21bf73,gaia_b01_n3,baseline,3,1,1.0,283.6666666666667,351,3
gaia_b01_n3_dacs_t01_fda5a3,gaia_b01_n3,dacs,3,1,0.6666666666666666,195.33333333333334,222,3
gaia_b01_n3_dacs_t02_a5e6cd,gaia_b01_n3,dacs,3,2,0.6666666666666666,199.33333333333334,236,3
gaia_b01_n3_dacs_t01_606a28,gaia_b01_n3,dacs,3,1,1.0,194.66666666666666,215,3
gaia_b01_n3_dacs_t03_90dec6,gaia_b01_n3,dacs,3,3,0.3333333333333333,192,213,3
gaia_b01_n3_dacs_t02_2e95d0,gaia_b01_n3,dacs,3,2,1.0,195,226,3
gaia_b01_n3_dacs_t04_e0083a,gaia_b01_n3,dacs,3,4,1.0,213.33333333333334,232,3
gaia_b01_n3_dacs_t03_0997c8,gaia_b01_n3,dacs,3,3,0.6666666666666666,215,227,3
gaia_b01_n3_dacs_t05_a92ac4,gaia_b01_n3,dacs,3,5,0.6666666666666666,199,218,3
gaia_b01_n3_baseline_t01_1871e6,gaia_b01_n3,baseline,3,1,1.0,281,337,3
gaia_b01_n3_dacs_t04_c38f9a,gaia_b01_n3,dacs,3,4,0.6666666666666666,210.66666666666666,220,3
gaia_b01_n3_baseline_t02_a45506,gaia_b01_n3,baseline,3,2,1.0,294.6666666666667,345,3
gaia_b01_n3_dacs_t05_91c8b2,gaia_b01_n3,dacs,3,5,0.6666666666666666,193.66666666666666,221,3
gaia_b01_n3_baseline_t01_d5b3ef,gaia_b01_n3,baseline,3,1,0.6666666666666666,319.6666666666667,399,3
gaia_b01_n3_baseline_t03_097afd,gaia_b01_n3,baseline,3,3,0.6666666666666666,307.6666666666667,354,3
gaia_b01_n3_baseline_t02_018738,gaia_b01_n3,baseline,3,2,0.6666666666666666,284,335,3
gaia_b01_n3_baseline_t04_045491,gaia_b01_n3,baseline,3,4,1.0,280,331,3
gaia_b01_n3_baseline_t03_987523,gaia_b01_n3,baseline,3,3,1.0,287.3333333333333,352,3
gaia_b01_n3_baseline_t05_1c5126,gaia_b01_n3,baseline,3,5,1.0,280.3333333333333,349,3
gaia_b01_n3_baseline_t04_371127,gaia_b01_n3,baseline,3,4,1.0,272,330,3
gaia_b02_n3_dacs_t01_0c9759,gaia_b02_n3,dacs,3,1,1.0,192,217,3
gaia_b01_n3_baseline_t05_7f4b7f,gaia_b01_n3,baseline,3,5,1.0,273,335,3
gaia_b02_n3_dacs_t02_690e4d,gaia_b02_n3,dacs,3,2,0.6666666666666666,178,202,3
gaia_b02_n3_dacs_t01_b25eb5,gaia_b02_n3,dacs,3,1,1.0,192.33333333333334,219,3
gaia_b02_n3_dacs_t03_8bd652,gaia_b02_n3,dacs,3,3,1.0,202,218,3
gaia_b02_n3_dacs_t02_53626b,gaia_b02_n3,dacs,3,2,0.6666666666666666,181.33333333333334,188,3
gaia_b02_n3_dacs_t04_e44c4a,gaia_b02_n3,dacs,3,4,1.0,180,202,3
gaia_b02_n3_dacs_t03_54f4ca,gaia_b02_n3,dacs,3,3,1.0,197.66666666666666,211,3
