run_id,scenario,condition,n_agents,trial,contamination_rate,avg_context_tokens,p95_context_tokens,n_steering_responses
ra1_n3_dacs_t01_e1f8bd,ra1_n3,dacs,3,1,0.0,491,926,5
ra1_n3_dacs_t01_01074d,ra1_n3,dacs,3,1,0.0,499.6,925,5
ra1_n3_dacs_t02_b8e58c,ra1_n3,dacs,3,2,0.0,617.1428571428571,1141,7
ra1_n3_dacs_t03_1d7e47,ra1_n3,dacs,3,3,0.0,321.6666666666667,366,3
ra1_n3_dacs_t04_5fed54,ra1_n3,dacs,3,4,0.0,386.25,748,4
ra1_n3_dacs_t05_c19f9d,ra1_n3,dacs,3,5,0.0,649.4285714285714,1146,7
ra1_n3_dacs_t06_a7a2fb,ra1_n3,dacs,3,6,0.0,470,803,5
ra1_n3_dacs_t07_74f6c2,ra1_n3,dacs,3,7,0.0,606.5,982,4
ra1_n3_dacs_t08_12bedd,ra1_n3,dacs,3,8,0.0,472.25,829,4
ra1_n3_dacs_t09_94171b,ra1_n3,dacs,3,9,0.0,511.2,952,5
ra1_n3_dacs_t10_4db65a,ra1_n3,dacs,3,10,0.0,646.5714285714286,1099,7
ra1_n3_baseline_t01_177b05,ra1_n3,baseline,3,1,0.75,572.5,1095,4
ra1_n3_baseline_t02_53f484,ra1_n3,baseline,3,2,0.4,780.8,1497,5
ra1_n3_baseline_t03_797f77,ra1_n3,baseline,3,3,0.42857142857142855,1046.7142857142858,2009,7
ra1_n3_baseline_t04_24f1e4,ra1_n3,baseline,3,4,0.5,782.5,1383,6
ra1_n3_baseline_t05_d885fc,ra1_n3,baseline,3,5,0.6,682,1258,5
ra1_n3_baseline_t06_35af15,ra1_n3,baseline,3,6,0.4,773.6,1198,5
ra1_n3_baseline_t07_d58af0,ra1_n3,baseline,3,7,0.5,1024,2095,6
ra1_n3_baseline_t08_658a4f,ra1_n3,baseline,3,8,0.5,868.3333333333334,1771,6
ra1_n3_baseline_t09_b69c2f,ra1_n3,baseline,3,9,0.6666666666666666,1002,1866,6
ra1_n3_baseline_t10_8fa5c7,ra1_n3,baseline,3,10,0.8571428571428571,892.1428571428571,1618,7
ra2_n5_dacs_t06_09e072,ra2_n5,dacs,5,6,0.14285714285714285,727.2857142857143,1169,14
ra2_n5_dacs_t08_83dfbd,ra2_n5,dacs,5,8,0.13333333333333333,659.5333333333333,1127,15
ra2_n5_dacs_t09_6be7d0,ra2_n5,dacs,5,9,0.13333333333333333,719.8666666666667,1139,15
ra2_n5_baseline_t01_f37ac0,ra2_n5,baseline,5,1,0.5454545454545454,1485.6363636363637,2702,11
ra2_n5_baseline_t02_061db2,ra2_n5,baseline,5,2,0.42857142857142855,2138.4285714285716,4308,14
ra2_n5_baseline_t03_56d186,ra2_n5,baseline,5,3,0.6363636363636364,1459.909090909091,2584,11
ra2_n5_baseline_t04_182e80,ra2_n5,baseline,5,4,0.5,1901.4166666666667,3363,12
ra2_n5_baseline_t05_484786,ra2_n5,baseline,5,5,0.38461538461538464,1362.3846153846155,2549,13
ra2_n5_baseline_t06_b8c819,ra2_n5,baseline,5,6,0.35714285714285715,1742.2857142857142,3287,14
ra2_n5_baseline_t07_1c47fa,ra2_n5,baseline,5,7,0.5714285714285714,1908.2142857142858,4424,14
ra2_n5_baseline_t08_236807,ra2_n5,baseline,5,8,0.35714285714285715,1753.5,3181,14
ra2_n5_baseline_t09_1e2691,ra2_n5,baseline,5,9,0.42857142857142855,1888.9285714285713,3728,14
ra2_n5_baseline_t10_7e4cb4,ra2_n5,baseline,5,10,0.38461538461538464,1863.9285714285713,3411,13
ra2_n5_dacs_t01_5e5c7d,ra2_n5,dacs,5,1,0.0,687.3333333333334,1060,12
ra2_n5_dacs_t02_2d20fd,ra2_n5,dacs,5,2,0.0,755.0666666666667,1173,15
ra2_n5_dacs_t03_890b6d,ra2_n5,dacs,5,3,0.0,704.0909090909091,1011,11
ra2_n5_dacs_t04_e8a50e,ra2_n5,dacs,5,4,0.0,696.6666666666666,1233,15
ra2_n5_dacs_t05_7d17fc,ra2_n5,dacs,5,5,0.0,706.6428571428571,1252,14
ra2_n5_dacs_t07_0514e9,ra2_n5,dacs,5,7,0.0,739.2666666666667,1284,15
ra2_n5_dacs_t10_2e411f,ra2_n5,dacs,5,10,0.0,733.5454545454545,1091,11
