run_id,scenario,condition,n_agents,trial,contamination_rate,avg_context_tokens,p95_context_tokens,n_steering_responses
ra1_n3_dacs_t02_3591dc,ra1_n3,dacs,3,2,1.0,638.75,1241,8
ra1_n3_dacs_t01_63db3c,ra1_n3,dacs,3,1,0.875,592.625,1255,8
ra1_n3_dacs_t03_c9c575,ra1_n3,dacs,3,3,0.75,645.625,1189,8
ra1_n3_dacs_t04_6248f2,ra1_n3,dacs,3,4,0.3333333333333333,646.4444444444445,1191,9
ra1_n3_dacs_t06_ebf0e8,ra1_n3,dacs,3,6,0.4444444444444444,711.8888888888889,1391,9
ra1_n3_dacs_t05_6b06a0,ra1_n3,dacs,3,5,0.6666666666666666,680.6666666666666,1313,9
ra1_n3_dacs_t07_658292,ra1_n3,dacs,3,7,0.6666666666666666,643.1111111111111,1129,9
ra1_n3_dacs_t09_500aa5,ra1_n3,dacs,3,9,0.25,652.125,1289,8
ra1_n3_baseline_t01_1eb0d6,ra1_n3,baseline,3,1,0.8333333333333334,862.6666666666666,1954,6
ra1_n3_dacs_t10_c6cc0c,ra1_n3,dacs,3,10,0.4444444444444444,677.2222222222222,1182,9
ra1_n3_baseline_t02_640580,ra1_n3,baseline,3,2,1.0,1448.5555555555557,3433,9
ra1_n3_baseline_t03_789abe,ra1_n3,baseline,3,3,1.0,1185.5,2826,8
ra1_n3_baseline_t04_a97fd5,ra1_n3,baseline,3,4,1.0,1423.3333333333333,3363,9
ra1_n3_baseline_t05_9d90cb,ra1_n3,baseline,3,5,0.75,1229.75,2817,8
ra1_n3_baseline_t06_71044d,ra1_n3,baseline,3,6,1.0,1395.5555555555557,3346,9
ra1_n3_baseline_t08_2c093f,ra1_n3,baseline,3,8,1.0,1389,3198,9
ra1_n3_baseline_t07_c8c40e,ra1_n3,baseline,3,7,1.0,1498.6666666666667,3441,9
ra1_n3_baseline_t09_66e225,ra1_n3,baseline,3,9,1.0,1506.4444444444443,3484,9
ra1_n3_baseline_t10_3dec2f,ra1_n3,baseline,3,10,1.0,1672,3786,9
ra1_n3_dacs_t08_8a186d,ra1_n3,dacs,3,8,0.5555555555555556,655.2222222222222,1356,9
ra2_n5_dacs_t01_bb0bb5,ra2_n5,dacs,5,1,0.4666666666666667,798.7333333333333,1361,15
ra2_n5_dacs_t02_dac759,ra2_n5,dacs,5,2,0.26666666666666666,822.8666666666667,1396,15
ra2_n5_dacs_t04_561535,ra2_n5,dacs,5,4,0.3333333333333333,803.0666666666667,1401,15
ra2_n5_dacs_t03_dcc9d0,ra2_n5,dacs,5,3,0.4,792.9333333333333,1320,15
ra2_n5_dacs_t05_1b4755,ra2_n5,dacs,5,5,0.42857142857142855,749.5714285714286,1378,14
ra2_n5_dacs_t07_6c6dc9,ra2_n5,dacs,5,7,0.4666666666666667,815.8666666666667,1528,15
ra2_n5_dacs_t06_877f25,ra2_n5,dacs,5,6,0.4666666666666667,799.4666666666667,1394,15
ra2_n5_dacs_t08_139e5a,ra2_n5,dacs,5,8,0.4666666666666667,822.2666666666667,1504,15
ra2_n5_baseline_t01_26b9aa,ra2_n5,baseline,5,1,0.9285714285714286,2080.3571428571427,5037,14
ra2_n5_dacs_t10_90db3f,ra2_n5,dacs,5,10,0.3333333333333333,803.7333333333333,1416,15
ra2_n5_dacs_t09_d67d63,ra2_n5,dacs,5,9,0.4,786.3333333333334,1322,15
ra2_n5_baseline_t02_eb8f98,ra2_n5,baseline,5,2,1.0,1885.3846153846155,4626,13
ra2_n5_baseline_t03_75e392,ra2_n5,baseline,5,3,0.9333333333333333,2383.4666666666667,5885,15
ra2_n5_baseline_t06_5cd325,ra2_n5,baseline,5,6,0.7857142857142857,2028.7142857142858,4978,14
ra2_n5_baseline_t04_d740b8,ra2_n5,baseline,5,4,1.0,2360.6,5800,15
ra2_n5_baseline_t05_e3383b,ra2_n5,baseline,5,5,1.0,2403.733333333333,5906,15
ra2_n5_baseline_t07_f5f458,ra2_n5,baseline,5,7,1.0,2482.9333333333334,5894,15
ra2_n5_baseline_t08_b55bb7,ra2_n5,baseline,5,8,1.0,2432.6666666666665,5937,15
ra2_n5_baseline_t09_321ede,ra2_n5,baseline,5,9,0.9285714285714286,2281.6428571428573,5561,14
ra2_n5_baseline_t10_97f868,ra2_n5,baseline,5,10,1.0,2412.5333333333333,5869,15
